team,country_code,fifa_rank,fifa_ranking_points,fifa_ranking_date,fifa_country_name,t5league_players,top5_epl_players,top5_bundesliga_players,top5_laliga_players,top5_ligue1_players,top5_seriea_players,fifa_ranking_source_note,t5league_source_note
Algeria,ALG,28.0,1571.03,2026-06-11,Algeria,11,1,4,0,5,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Argentina,ARG,1.0,1877.27,2026-06-11,Argentina,21,6,1,7,5,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Australia,AUS,27.0,1579.34,2026-06-11,Australia,5,0,2,1,0,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Austria,AUT,24.0,1597.4,2026-06-11,Austria,17,1,14,2,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Belgium,BEL,9.0,1742.24,2026-06-11,Belgium,20,7,1,2,5,5,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Bosnia and Herzegovina,BIH,64.0,1387.22,2026-06-11,Bosnia and Herzegovina,6,0,3,0,1,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Brazil,BRA,6.0,1765.86,2026-06-11,Brazil,15,8,0,2,2,3,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Canada,CAN,30.0,1559.48,2026-06-11,Canada,9,1,1,3,2,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Cape Verde,CPV,67.0,1371.11,2026-06-11,Cabo Verde,1,0,0,1,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Colombia,COL,13.0,1698.35,2026-06-11,Colombia,8,2,1,2,1,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Croatia,CRO,11.0,1714.87,2026-06-11,Croatia,17,2,5,3,0,7,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Curacao,CUW,82.0,1294.77,2026-06-11,Curacao,0,0,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Czechia,CZE,40.0,1505.74,2026-06-11,Czechia,7,2,4,0,1,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
DR Congo,COD,46.0,1474.43,2026-06-11,Congo DR,10,4,0,2,4,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
