year,snapshot_date,country,rank,country_code,rating,rank_max,rating_max,rank_avg,rating_avg,rank_min,rating_min,matches_total,matches_home,matches_away,matches_neutral,wins,losses,draws,goals_for,goals_against,confederation,is_host,wc2026_exit_round
2018,12/31/2018,Brazil,1,BR,2136,1,2195,4,1993,20,1805,981,340,319,322,621,158,202,2129,893,CONMEBOL,0,
2018,12/31/2018,France,2,FR,2092,1,2135,17,1777,40,1514,850,435,314,101,416,257,177,1511,1198,UEFA,0,
2018,12/31/2018,Belgium,3,BE,2034,3,2082,25,1739,71,1503,793,381,343,69,339,287,167,1403,1287,UEFA,0,
2018,12/31/2018,Spain,4,ES,2011,1,2164,7,1938,19,1805,692,302,271,119,404,131,157,1380,632,UEFA,0,
2018,12/31/2018,Netherlands,5,NL,1985,1,2153,16,1839,55,1552,815,387,329,99,413,225,177,1689,1059,UEFA,0,
2018,12/31/2018,Colombia,6,CO,1960,3,2034,52,1590,102,1304,563,165,202,196,222,189,152,713,669,CONMEBOL,0,
2018,12/31/2018,England,7,EN,1959,1,2213,4,1982,17,1810,1071,462,499,110,625,201,245,2512,1062,UEFA,0,
2018,12/31/2018,Portugal,8,PT,1958,2,2018,20,1781,41,1623,608,282,229,97,290,175,143,1013,713,UEFA,0,
2018,12/31/2018,Germany,9,DE,1937,1,2222,8,1908,25,1637,961,420,386,155,558,207,196,2154,1131,UEFA,0,
2018,12/31/2018,Croatia,10,HR,1923,5,2008,12,1875,26,1780,313,125,132,56,165,63,85,543,309,UEFA,0,
2018,12/31/2018,Uruguay,11,UY,1921,1,2104,12,1873,44,1636,937,313,402,222,408,305,224,1493,1190,CONMEBOL,0,
2018,12/31/2018,Switzerland,11,CH,1921,9,1929,28,1676,56,1485,810,391,358,61,283,353,174,1184,1383,UEFA,0,
2018,12/31/2018,Argentina,13,AR,1920,1,2159,5,1982,26,1751,1021,358,395,268,547,220,254,1930,1088,CONMEBOL,0,
2018,12/31/2018,Sweden,18,SE,1850,2,2013,16,1796,45,1579,1035,451,466,118,505,306,224,2084,1378,UEFA,0,
2018,12/31/2018,Iran,19,IR,1823,13,1841,42,1645,79,1450,588,203,171,214,328,119,141,1090,466,AFC,0,
2018,12/31/2018,Bosnia and Herzegovina,21,BA,1795,20,1806,51,1632,81,1500,209,81,102,26,85,78,46,312,275,UEFA,0,
2018,12/31/2018,Mexico,22,MX,1779,4,1985,20,1780,48,1498,906,274,248,384,465,233,208,1625,946,CONCACAF,1,
2018,12/31/2018,South Korea,23,KR,1778,16,1845,36,1679,84,1445,958,309,237,412,516,205,237,1737,885,AFC,0,
2018,12/31/2018,Ecuador,24,EC,1772,12,1914,68,1497,121,1183,514,162,184,168,152,233,129,623,826,CONMEBOL,0,
2018,12/31/2018,Austria,26,AT,1765,1,2070,20,1811,73,1549,785,393,349,43,325,288,172,1410,1238,UEFA,0,
2018,12/31/2018,Senegal,29,SN,1755,21,1808,59,1570,107,1387,609,196,238,175,255,182,172,798,612,CAF,0,
2018,12/31/2018,United States,34,US,1742,9,1890,41,1637,92,1412,711,398,237,76,303,256,152,1025,964,CONCACAF,1,
2018,12/31/2018,Australia,35,AU,1736,11,1875,35,1666,77,1469,567,253,202,112,284,164,119,1161,669,AFC,0,
