id,name,age,number,position,photo,team_id,team_name
19599,E. Martínez,33,23,Goalkeeper,https://media.api-sports.io/football/players/19599.png,26,Argentina
2465,J. Musso,31,1,Goalkeeper,https://media.api-sports.io/football/players/2465.png,26,Argentina
47296,G. Rulli,33,12,Goalkeeper,https://media.api-sports.io/football/players/47296.png,26,Argentina
2467,Lisandro Martínez,27,6,Defender,https://media.api-sports.io/football/players/2467.png,26,Argentina
6231,F. Medina,26,25,Defender,https://media.api-sports.io/football/players/6231.png,26,Argentina
6503,N. Molina,27,26,Defender,https://media.api-sports.io/football/players/6503.png,26,Argentina
2468,G. Montiel,28,4,Defender,https://media.api-sports.io/football/players/2468.png,26,Argentina
624,N. Otamendi,37,19,Defender,https://media.api-sports.io/football/players/624.png,26,Argentina
30776,C. Romero,27,13,Defender,https://media.api-sports.io/football/players/30776.png,26,Argentina
529,N. Tagliafico,33,3,Defender,https://media.api-sports.io/football/players/529.png,26,Argentina
319572,V. Barco,21,8,Midfielder,https://media.api-sports.io/football/players/319572.png,26,Argentina
5996,E. Fernández,24,24,Midfielder,https://media.api-sports.io/football/players/5996.png,26,Argentina
1578,G. Lo Celso,29,11,Midfielder,https://media.api-sports.io/football/players/1578.png,26,Argentina
6716,A. Mac Allister,27,20,Midfielder,https://media.api-sports.io/football/players/6716.png,26,Argentina
6002,E. Palacios,27,14,Defender,https://media.api-sports.io/football/players/6002.png,26,Argentina
271,L. Paredes,31,5,Midfielder,https://media.api-sports.io/football/players/271.png,26,Argentina
26315,N. González,27,15,Midfielder,https://media.api-sports.io/football/players/26315.png,26,Argentina
2472,R. De Paul,31,7,Midfielder,https://media.api-sports.io/football/players/2472.png,26,Argentina
6067,T. Almada,24,16,Midfielder,https://media.api-sports.io/football/players/6067.png,26,Argentina
6009,J. Álvarez,25,9,Midfielder,https://media.api-sports.io/football/players/6009.png,26,Argentina
350037,N. Paz,21,18,Attacker,https://media.api-sports.io/football/players/350037.png,26,Argentina
295513,J. López,25,21,Attacker,https://media.api-sports.io/football/players/295513.png,26,Argentina
217,Lautaro Martínez,28,22,Attacker,https://media.api-sports.io/football/players/217.png,26,Argentina
154,L. Messi,38,10,Attacker,https://media.api-sports.io/football/players/154.png,26,Argentina
323935,G. Simeone,23,17,Midfielder,https://media.api-sports.io/football/players/323935.png,26,Argentina
6610,M. Senesi,28,2,Midfielder,https://media.api-sports.io/football/players/6610.png,26,Argentina
