id,name,age,number,position,photo,team_id,team_name
280,Alisson Becker,33,1,Goalkeeper,https://media.api-sports.io/football/players/280.png,6,Brazil
617,Ederson,32,23,Goalkeeper,https://media.api-sports.io/football/players/617.png,6,Brazil
2410,Weverton,38,12,Goalkeeper,https://media.api-sports.io/football/players/2410.png,6,Brazil
860,Alex Sandro,34,6,Defender,https://media.api-sports.io/football/players/860.png,6,Brazil
30497,Bremer,28,14,Defender,https://media.api-sports.io/football/players/30497.png,6,Brazil
22224,Gabriel Magalhães,28,3,Defender,https://media.api-sports.io/football/players/22224.png,6,Brazil
30424,Ibañez,27,24,Defender,https://media.api-sports.io/football/players/30424.png,6,Brazil
10124,Léo Pereira,29,15,Defender,https://media.api-sports.io/football/players/10124.png,6,Brazil
257,Marquinhos,31,4,Defender,https://media.api-sports.io/football/players/257.png,6,Brazil
24866,Douglas Santos,31,16,Defender,https://media.api-sports.io/football/players/24866.png,6,Brazil
10097,Éderson Silva,22,2,Midfielder,https://media.api-sports.io/football/players/10097.png,6,Brazil
618,Danilo,34,13,Defender,https://media.api-sports.io/football/players/618.png,6,Brazil
10135,Bruno Guimarães,28,8,Midfielder,https://media.api-sports.io/football/players/10135.png,6,Brazil
747,Casemiro,33,5,Midfielder,https://media.api-sports.io/football/players/747.png,6,Brazil
299,Fabinho,32,17,Midfielder,https://media.api-sports.io/football/players/299.png,6,Brazil
1646,Lucas Paquetá,28,20,Midfielder,https://media.api-sports.io/football/players/1646.png,6,Brazil
275170,Danilo Santos,24,18,Midfielder,https://media.api-sports.io/football/players/275170.png,6,Brazil
1165,Matheus Cunha,26,9,Attacker,https://media.api-sports.io/football/players/1165.png,6,Brazil
377122,Endrick,19,19,Attacker,https://media.api-sports.io/football/players/377122.png,6,Brazil
265785,Luiz Henrique,24,21,Attacker,https://media.api-sports.io/football/players/265785.png,6,Brazil
127769,Gabriel Martinelli,24,22,Midfielder,https://media.api-sports.io/football/players/127769.png,6,Brazil
276,Neymar,33,10,Attacker,https://media.api-sports.io/football/players/276.png,6,Brazil
1496,Raphinha,29,11,Midfielder,https://media.api-sports.io/football/players/1496.png,6,Brazil
407806,Rayan,19,26,Midfielder,https://media.api-sports.io/football/players/407806.png,6,Brazil
196156,Thiago,24,25,Attacker,https://media.api-sports.io/football/players/196156.png,6,Brazil
762,Vinícius Júnior,25,7,Midfielder,https://media.api-sports.io/football/players/762.png,6,Brazil
