id,name,age,number,position,photo,team_id,team_name
51274,M. Crépeau,31,16,Goalkeeper,https://media.api-sports.io/football/players/51274.png,5529,Canada
284554,O. Goodman,22,18,Goalkeeper,https://media.api-sports.io/football/players/284554.png,5529,Canada
51148,D. St. Clair,28,1,Goalkeeper,https://media.api-sports.io/football/players/51148.png,5529,Canada
51295,D. Cornelius,28,13,Defender,https://media.api-sports.io/football/players/51295.png,5529,Canada
327738,L. De Fougerolles,20,4,Defender,https://media.api-sports.io/football/players/327738.png,5529,Canada
50816,R. Laryea,30,22,Defender,https://media.api-sports.io/football/players/50816.png,5529,Canada
78494,J. Waterman,29,5,Defender,https://media.api-sports.io/football/players/78494.png,5529,Canada
78547,A. Johnston,27,2,Defender,https://media.api-sports.io/football/players/78547.png,5529,Canada
18938,A. Jones,28,3,Defender,https://media.api-sports.io/football/players/18938.png,5529,Canada
407017,M. Bombito,26,15,Defender,https://media.api-sports.io/football/players/407017.png,5529,Canada
509,A. Davies,25,19,Defender,https://media.api-sports.io/football/players/509.png,5529,Canada
416901,N. Sigur,22,23,Midfielder,https://media.api-sports.io/football/players/416901.png,5529,Canada
50826,J. Shaffelburg,26,14,Midfielder,https://media.api-sports.io/football/players/50826.png,5529,Canada
44798,L. Millar,26,11,Midfielder,https://media.api-sports.io/football/players/44798.png,5529,Canada
50788,M. Choinière,26,6,Midfielder,https://media.api-sports.io/football/players/50788.png,5529,Canada
35570,S. Eustáquio,29,7,Midfielder,https://media.api-sports.io/football/players/35570.png,5529,Canada
328046,I. Koné,23,8,Midfielder,https://media.api-sports.io/football/players/328046.png,5529,Canada
50817,J. Osorio,33,21,Midfielder,https://media.api-sports.io/football/players/50817.png,5529,Canada
294824,N. Saliba,21,25,Midfielder,https://media.api-sports.io/football/players/294824.png,5529,Canada
193279,J. Nelson,22,26,Attacker,https://media.api-sports.io/football/players/193279.png,5529,Canada
51016,T. Buchanan,26,17,Midfielder,https://media.api-sports.io/football/players/51016.png,5529,Canada
8489,J. David,25,10,Attacker,https://media.api-sports.io/football/players/8489.png,5529,Canada
313353,P. David,24,24,Attacker,https://media.api-sports.io/football/players/313353.png,5529,Canada
2001,C. Larin,30,9,Attacker,https://media.api-sports.io/football/players/2001.png,5529,Canada
362145,A. Ahmed,25,20,Midfielder,https://media.api-sports.io/football/players/362145.png,5529,Canada
351587,T. Oluwaseyi,25,12,Attacker,https://media.api-sports.io/football/players/351587.png,5529,Canada
