id,name,age,number,position,photo,team_id,team_name
214129,T. Bodak,23,25,Goalkeeper,https://media.api-sports.io/football/players/214129.png,5530,Curaçao
36967,T. Doornbusch,26,26,Goalkeeper,https://media.api-sports.io/football/players/36967.png,5530,Curaçao
221,E. Room,36,1,Goalkeeper,https://media.api-sports.io/football/players/221.png,5530,Curaçao
37175,R. Bazoer,29,23,Defender,https://media.api-sports.io/football/players/37175.png,5530,Curaçao
706,J. Brenet,31,20,Defender,https://media.api-sports.io/football/players/706.png,5530,Curaçao
36970,S. Floranus,27,5,Defender,https://media.api-sports.io/football/players/36970.png,5530,Curaçao
353808,Deveron Fonville,22,24,Defender,https://media.api-sports.io/football/players/353808.png,5530,Curaçao
36857,J. Gaari,32,3,Defender,https://media.api-sports.io/football/players/36857.png,5530,Curaçao
194645,S. Sambo,24,2,Defender,https://media.api-sports.io/football/players/194645.png,5530,Curaçao
37066,R. van Eijma,27,4,Defender,https://media.api-sports.io/football/players/37066.png,5530,Curaçao
228,A. Obispo,26,18,Defender,https://media.api-sports.io/football/players/228.png,5530,Curaçao
18997,L. Bacuna,34,10,Midfielder,https://media.api-sports.io/football/players/18997.png,5530,Curaçao
162199,A. Martha,22,15,Midfielder,https://media.api-sports.io/football/players/162199.png,5530,Curaçao
406846,T. Noslin,23,13,Midfielder,https://media.api-sports.io/football/players/406846.png,5530,Curaçao
309763,L. Comenencia,21,8,Midfielder,https://media.api-sports.io/football/players/309763.png,5530,Curaçao
37461,K. Felida,26,22,Midfielder,https://media.api-sports.io/football/players/37461.png,5530,Curaçao
906,T. Chong,26,21,Midfielder,https://media.api-sports.io/football/players/906.png,5530,Curaçao
36842,G. Roemeratoe,26,6,Midfielder,https://media.api-sports.io/football/players/36842.png,5530,Curaçao
19047,J. Bacuna,28,7,Midfielder,https://media.api-sports.io/football/players/19047.png,5530,Curaçao
163220,J. Antonisse,23,11,Attacker,https://media.api-sports.io/football/players/163220.png,5530,Curaçao
37272,B. Kuwas,33,17,Attacker,https://media.api-sports.io/football/players/37272.png,5530,Curaçao
41627,K. Gorré,31,14,Attacker,https://media.api-sports.io/football/players/41627.png,5530,Curaçao
161884,S. Hansen,23,12,Attacker,https://media.api-sports.io/football/players/161884.png,5530,Curaçao
38708,G. Kastaneer,29,19,Attacker,https://media.api-sports.io/football/players/38708.png,5530,Curaçao
18981,J. Locadia,32,9,Attacker,https://media.api-sports.io/football/players/18981.png,5530,Curaçao
195067,J. Margaritha,25,16,Attacker,https://media.api-sports.io/football/players/195067.png,5530,Curaçao
