id,name,age,number,position,photo,team_id,team_name
269349,L. Hornícek,23,23,Goalkeeper,https://media.api-sports.io/football/players/269349.png,770,Czech Republic
138804,M. Kovár,25,1,Goalkeeper,https://media.api-sports.io/football/players/138804.png,770,Czech Republic
66347,J. Stanek,29,16,Goalkeeper,https://media.api-sports.io/football/players/66347.png,770,Czech Republic
337740,S. Chaloupek,22,6,Defender,https://media.api-sports.io/football/players/337740.png,770,Czech Republic
1231,V. Coufal,33,5,Midfielder,https://media.api-sports.io/football/players/1231.png,770,Czech Republic
2252,T. Holes,32,3,Defender,https://media.api-sports.io/football/players/2252.png,770,Czech Republic
162964,R. Hranác,25,4,Defender,https://media.api-sports.io/football/players/162964.png,770,Czech Republic
128793,D. Jurásek,25,14,Defender,https://media.api-sports.io/football/players/128793.png,770,Czech Republic
66407,L. Krejcí,26,7,Defender,https://media.api-sports.io/football/players/66407.png,770,Czech Republic
1237,J. Zelený,33,20,Midfielder,https://media.api-sports.io/football/players/1237.png,770,Czech Republic
128772,D. Zima,25,2,Defender,https://media.api-sports.io/football/players/128772.png,770,Czech Republic
66214,D. Doudera,27,21,Midfielder,https://media.api-sports.io/football/players/66214.png,770,Czech Republic
162194,L. Cerv,24,12,Midfielder,https://media.api-sports.io/football/players/162194.png,770,Czech Republic
25348,V. Darida,35,8,Midfielder,https://media.api-sports.io/football/players/25348.png,770,Czech Republic
66353,L. Provod,29,17,Attacker,https://media.api-sports.io/football/players/66353.png,770,Czech Republic
241,M. Sadílek,26,18,Midfielder,https://media.api-sports.io/football/players/241.png,770,Czech Republic
555437,H. Sochurek,17,25,Midfielder,https://media.api-sports.io/football/players/555437.png,770,Czech Republic
386837,A. Sojka,22,24,Midfielder,https://media.api-sports.io/football/players/386837.png,770,Czech Republic
1243,T. Soucek,30,22,Midfielder,https://media.api-sports.io/football/players/1243.png,770,Czech Republic
66387,P. Sulc,25,15,Attacker,https://media.api-sports.io/football/players/66387.png,770,Czech Republic
818,T. Chorý,30,19,Attacker,https://media.api-sports.io/football/players/818.png,770,Czech Republic
66275,M. Chytil,26,13,Attacker,https://media.api-sports.io/football/players/66275.png,770,Czech Republic
66019,A. Hlozek,23,9,Attacker,https://media.api-sports.io/football/players/66019.png,770,Czech Republic
66340,J. Kuchta,28,11,Attacker,https://media.api-sports.io/football/players/66340.png,770,Czech Republic
794,P. Schick,29,10,Attacker,https://media.api-sports.io/football/players/794.png,770,Czech Republic
290212,D. Visinský,22,26,Midfielder,https://media.api-sports.io/football/players/290212.png,770,Czech Republic
