id,name,age,number,position,photo,team_id,team_name
19088,D. Henderson,28,13,Goalkeeper,https://media.api-sports.io/football/players/19088.png,10,England
2932,J. Pickford,31,1,Goalkeeper,https://media.api-sports.io/football/players/2932.png,10,England
162489,J. Trafford,23,23,Goalkeeper,https://media.api-sports.io/football/players/162489.png,10,England
18961,D. Burn,33,15,Defender,https://media.api-sports.io/football/players/18961.png,10,England
67971,M. Guéhi,25,6,Defender,https://media.api-sports.io/football/players/67971.png,10,England
19545,R. James,26,24,Defender,https://media.api-sports.io/football/players/19545.png,10,England
19354,E. Konsa,28,2,Defender,https://media.api-sports.io/football/players/19354.png,10,England
19720,T. Chalobah,26,12,Defender,https://media.api-sports.io/football/players/19720.png,10,England
307123,N. Oreilly,20,3,Defender,https://media.api-sports.io/football/players/307123.png,10,England
158698,J. Quansah,22,26,Defender,https://media.api-sports.io/football/players/158698.png,10,England
19235,D. Spence,25,25,Defender,https://media.api-sports.io/football/players/19235.png,10,England
626,J. Stones,31,5,Defender,https://media.api-sports.io/football/players/626.png,10,England
138908,E. Anderson,23,8,Midfielder,https://media.api-sports.io/football/players/138908.png,10,England
129718,J. Bellingham,22,10,Midfielder,https://media.api-sports.io/football/players/129718.png,10,England
19586,E. Eze,27,21,Midfielder,https://media.api-sports.io/football/players/19586.png,10,England
292,J. Henderson,35,14,Midfielder,https://media.api-sports.io/football/players/292.png,10,England
284322,K. Mainoo,20,16,Midfielder,https://media.api-sports.io/football/players/284322.png,10,England
2937,D. Rice,26,4,Midfielder,https://media.api-sports.io/football/players/2937.png,10,England
19170,M. Rogers,23,17,Midfielder,https://media.api-sports.io/football/players/19170.png,10,England
138787,A. Gordon,24,18,Midfielder,https://media.api-sports.io/football/players/138787.png,10,England
184,H. Kane,32,9,Attacker,https://media.api-sports.io/football/players/184.png,10,England
136723,N. Madueke,23,20,Midfielder,https://media.api-sports.io/football/players/136723.png,10,England
909,M. Rashford,28,11,Midfielder,https://media.api-sports.io/football/players/909.png,10,England
1460,B. Saka,24,7,Midfielder,https://media.api-sports.io/football/players/1460.png,10,England
19974,I. Toney,29,22,Attacker,https://media.api-sports.io/football/players/19974.png,10,England
19366,O. Watkins,30,19,Midfielder,https://media.api-sports.io/football/players/19366.png,10,England
