id,name,age,number,position,photo,team_id,team_name
702,O. Baumann,35,12,Goalkeeper,https://media.api-sports.io/football/players/702.png,25,Germany
497,M. Neuer,39,1,Goalkeeper,https://media.api-sports.io/football/players/497.png,25,Germany
399,A. Nübel,29,21,Goalkeeper,https://media.api-sports.io/football/players/399.png,25,Germany
25368,W. Anton,29,3,Defender,https://media.api-sports.io/football/players/25368.png,25,Germany
280074,N. Brown,22,18,Defender,https://media.api-sports.io/football/players/280074.png,25,Germany
25158,D. Raum,27,22,Midfielder,https://media.api-sports.io/football/players/25158.png,25,Germany
2285,A. Rüdiger,32,2,Defender,https://media.api-sports.io/football/players/2285.png,25,Germany
26243,N. Schlotterbeck,26,15,Defender,https://media.api-sports.io/football/players/26243.png,25,Germany
972,J. Tah,29,4,Defender,https://media.api-sports.io/football/players/972.png,25,Germany
163189,M. Thiaw,24,24,Defender,https://media.api-sports.io/football/players/163189.png,25,Germany
502,J. Kimmich,30,6,Defender,https://media.api-sports.io/football/players/502.png,25,Germany
714,N. Amiri,29,20,Midfielder,https://media.api-sports.io/football/players/714.png,25,Germany
511,L. Goretzka,30,8,Midfielder,https://media.api-sports.io/football/players/511.png,25,Germany
18970,P. Groß,34,13,Midfielder,https://media.api-sports.io/football/players/18970.png,25,Germany
380978,A. Ouédraogo,17,25,Midfielder,https://media.api-sports.io/football/players/380978.png,25,Germany
128533,J. Leweling,24,9,Attacker,https://media.api-sports.io/football/players/128533.png,25,Germany
181812,J. Musiala,22,10,Attacker,https://media.api-sports.io/football/players/181812.png,25,Germany
637,F. Nmecha,25,23,Midfielder,https://media.api-sports.io/football/players/637.png,25,Germany
328033,A. Pavlovic,21,5,Midfielder,https://media.api-sports.io/football/players/328033.png,25,Germany
644,L. Sané,30,19,Midfielder,https://media.api-sports.io/football/players/644.png,25,Germany
137210,A. Stiller,24,16,Midfielder,https://media.api-sports.io/football/players/137210.png,25,Germany
203224,F. Wirtz,22,17,Attacker,https://media.api-sports.io/football/players/203224.png,25,Germany
978,K. Havertz,26,7,Attacker,https://media.api-sports.io/football/players/978.png,25,Germany
158644,M. Beier,23,14,Attacker,https://media.api-sports.io/football/players/158644.png,25,Germany
26475,D. Undav,29,26,Attacker,https://media.api-sports.io/football/players/26475.png,25,Germany
158054,N. Woltemade,23,11,Attacker,https://media.api-sports.io/football/players/158054.png,25,Germany
