id,name,age,number,position,photo,team_id,team_name
2682,A. Beiranvand,33,1,Goalkeeper,https://media.api-sports.io/football/players/2682.png,22,Iran
29755,H. Hosseini,33,22,Goalkeeper,https://media.api-sports.io/football/players/29755.png,22,Iran
2681,P. Niazmand,30,12,Goalkeeper,https://media.api-sports.io/football/players/2681.png,22,Iran
532950,D. Eiri,21,25,Defender,https://media.api-sports.io/football/players/532950.png,22,Iran
2691,R. Rezaeian,35,23,Midfielder,https://media.api-sports.io/football/players/2691.png,22,Iran
2685,E. Hajisafi,35,3,Defender,https://media.api-sports.io/football/players/2685.png,22,Iran
136880,Saleh Hardani,27,2,Defender,https://media.api-sports.io/football/players/136880.png,22,Iran
2687,H. Kanani,31,13,Defender,https://media.api-sports.io/football/players/2687.png,22,Iran
29704,S. Khalilzadeh,36,4,Defender,https://media.api-sports.io/football/players/29704.png,22,Iran
2688,M. Mohammadi,32,5,Defender,https://media.api-sports.io/football/players/2688.png,22,Iran
533035,A. Nemati,29,19,Defender,https://media.api-sports.io/football/players/533035.png,22,Iran
343405,A. Yousefi,23,17,Midfielder,https://media.api-sports.io/football/players/343405.png,22,Iran
2700,A. Jahanbakhsh,32,7,Midfielder,https://media.api-sports.io/football/players/2700.png,22,Iran
2683,R. Cheshmi,32,15,Midfielder,https://media.api-sports.io/football/players/2683.png,22,Iran
19614,S. Ezatolahi,29,6,Midfielder,https://media.api-sports.io/football/players/19614.png,22,Iran
2699,S. Ghoddos,32,14,Midfielder,https://media.api-sports.io/football/players/2699.png,22,Iran
423753,A. Razzaghinia,19,26,Midfielder,https://media.api-sports.io/football/players/423753.png,22,Iran
341844,M. Ghorbani,24,21,Midfielder,https://media.api-sports.io/football/players/341844.png,22,Iran
134217,M. Mohebi,27,8,Midfielder,https://media.api-sports.io/football/players/134217.png,22,Iran
2697,M. Torabi,31,16,Midfielder,https://media.api-sports.io/football/players/2697.png,22,Iran
29781,M. Ghaedi,27,10,Attacker,https://media.api-sports.io/football/players/29781.png,22,Iran
29937,A. Hosseinzadeh,25,18,Attacker,https://media.api-sports.io/football/players/29937.png,22,Iran
29720,A. Alipour,30,11,Attacker,https://media.api-sports.io/football/players/29720.png,22,Iran
89982,S. Moghanlou,31,20,Attacker,https://media.api-sports.io/football/players/89982.png,22,Iran
37892,D. Eckert Ayensa,28,24,Attacker,https://media.api-sports.io/football/players/37892.png,22,Iran
42315,M. Taremi,33,9,Attacker,https://media.api-sports.io/football/players/42315.png,22,Iran
