id,name,age,number,position,photo,team_id,team_name
2701,Y. Bounou,34,1,Goalkeeper,https://media.api-sports.io/football/players/2701.png,31,Morocco
2702,M. Mohamedi,36,12,Goalkeeper,https://media.api-sports.io/football/players/2702.png,31,Morocco
2703,A. Tagnaouti,29,22,Goalkeeper,https://media.api-sports.io/football/players/2703.png,31,Morocco
50042,M. Saâdane,29,5,Defender,https://media.api-sports.io/football/players/50042.png,31,Morocco
18814,I. Diop,28,14,Defender,https://media.api-sports.io/football/players/18814.png,31,Morocco
283252,Z. El Ouahdi,24,13,Defender,https://media.api-sports.io/football/players/283252.png,31,Morocco
9,A. Hakimi,27,2,Defender,https://media.api-sports.io/football/players/9.png,31,Morocco
326183,R. Halhal,22,25,Defender,https://media.api-sports.io/football/players/326183.png,31,Morocco
545,N. Mazraoui,28,3,Defender,https://media.api-sports.io/football/players/545.png,31,Morocco
278898,C. Riad,22,18,Defender,https://media.api-sports.io/football/players/278898.png,31,Morocco
162451,A. Salah-Eddine,24,26,Defender,https://media.api-sports.io/football/players/162451.png,31,Morocco
146772,Y. Belammari,27,19,Defender,https://media.api-sports.io/football/players/146772.png,31,Morocco
74,S. Amrabat,29,4,Midfielder,https://media.api-sports.io/football/players/74.png,31,Morocco
438688,A. Bouaddi,18,6,Midfielder,https://media.api-sports.io/football/players/438688.png,31,Morocco
277003,N. El Aynaoui,24,24,Midfielder,https://media.api-sports.io/football/players/277003.png,31,Morocco
340573,B. El Khannouss,21,23,Attacker,https://media.api-sports.io/football/players/340573.png,31,Morocco
415431,S. El Mourabet,20,15,Midfielder,https://media.api-sports.io/football/players/415431.png,31,Morocco
129678,A. Ounahi,25,8,Midfielder,https://media.api-sports.io/football/players/129678.png,31,Morocco
161897,I. Saibari,24,11,Attacker,https://media.api-sports.io/football/players/161897.png,31,Morocco
336659,C. Talbi,20,7,Midfielder,https://media.api-sports.io/football/players/336659.png,31,Morocco
369544,Gessime Yassine,20,16,Attacker,https://media.api-sports.io/football/players/369544.png,31,Morocco
744,Brahim Díaz,26,10,Midfielder,https://media.api-sports.io/football/players/744.png,31,Morocco
535046,A. Amaimouni,20,21,Midfielder,https://media.api-sports.io/football/players/535046.png,31,Morocco
2722,A. El Kaabi,32,20,Attacker,https://media.api-sports.io/football/players/2722.png,31,Morocco
191289,A. Sbaï,24,17,Attacker,https://media.api-sports.io/football/players/191289.png,31,Morocco
36579,S. Rahimi,29,9,Attacker,https://media.api-sports.io/football/players/36579.png,31,Morocco
