id,name,age,number,position,photo,team_id,team_name
19172,Ø. Nyland,35,1,Goalkeeper,https://media.api-sports.io/football/players/19172.png,1090,Norway
39082,E. Selvik,28,13,Goalkeeper,https://media.api-sports.io/football/players/39082.png,1090,Norway
264378,S. Tangvik,23,12,Goalkeeper,https://media.api-sports.io/football/players/264378.png,1090,Norway
1119,K. Ajer,27,3,Defender,https://media.api-sports.io/football/players/1119.png,1090,Norway
39058,F. Bjørkan,27,15,Defender,https://media.api-sports.io/football/players/39058.png,1090,Norway
180937,H. Falchener,22,25,Defender,https://media.api-sports.io/football/players/180937.png,1090,Norway
265444,S. Langås,24,24,Defender,https://media.api-sports.io/football/players/265444.png,1090,Norway
39254,T. Heggem,26,17,Defender,https://media.api-sports.io/football/players/39254.png,1090,Norway
18967,L. Østigård,26,4,Defender,https://media.api-sports.io/football/players/18967.png,1090,Norway
39362,M. Pedersen,25,16,Defender,https://media.api-sports.io/football/players/39362.png,1090,Norway
265782,D. Møller Wolfe,23,5,Defender,https://media.api-sports.io/football/players/265782.png,1090,Norway
277930,T. Aasgaard,23,19,Midfielder,https://media.api-sports.io/football/players/277930.png,1090,Norway
39043,F. Aursnes,30,14,Defender,https://media.api-sports.io/football/players/39043.png,1090,Norway
39064,P. Berg,28,6,Midfielder,https://media.api-sports.io/football/players/39064.png,1090,Norway
1934,S. Berge,27,8,Midfielder,https://media.api-sports.io/football/players/1934.png,1090,Norway
278133,Oscar Bobb,22,22,Attacker,https://media.api-sports.io/football/players/278133.png,1090,Norway
37127,M. Ødegaard,27,10,Midfielder,https://media.api-sports.io/football/players/37127.png,1090,Norway
36980,M. Thorsby,29,2,Midfielder,https://media.api-sports.io/football/players/36980.png,1090,Norway
39143,K. Thorstvedt,26,18,Midfielder,https://media.api-sports.io/football/players/39143.png,1090,Norway
301528,A. Schjelderup,21,21,Attacker,https://media.api-sports.io/football/players/301528.png,1090,Norway
39073,J. Hauge,26,23,Midfielder,https://media.api-sports.io/football/players/39073.png,1090,Norway
1100,E. Haaland,25,9,Attacker,https://media.api-sports.io/football/players/1100.png,1090,Norway
2032,J. Strand Larsen,25,11,Attacker,https://media.api-sports.io/football/players/2032.png,1090,Norway
314511,A. Nusa,20,20,Midfielder,https://media.api-sports.io/football/players/314511.png,1090,Norway
8492,A. Sørloth,30,7,Attacker,https://media.api-sports.io/football/players/8492.png,1090,Norway
24845,J. Ryerson,28,26,Defender,https://media.api-sports.io/football/players/24845.png,1090,Norway
