id,name,age,number,position,photo,team_id,team_name
42207,Mahmud Abunada,25,1,Goalkeeper,https://media.api-sports.io/football/players/42207.png,1569,Qatar
42021,Meshaal Barsham,27,22,Goalkeeper,https://media.api-sports.io/football/players/42021.png,1569,Qatar
136503,Salah Zakaria,26,21,Goalkeeper,https://media.api-sports.io/football/players/136503.png,1569,Qatar
175439,Homam Ahmed,26,14,Defender,https://media.api-sports.io/football/players/175439.png,1569,Qatar
42060,Sultan Al Braik,29,18,Defender,https://media.api-sports.io/football/players/42060.png,1569,Qatar
542542,A. Al Hussain,22,25,Defender,https://media.api-sports.io/football/players/542542.png,1569,Qatar
377930,A. Al Oui,20,13,Defender,https://media.api-sports.io/football/players/377930.png,1569,Qatar
200981,Jassem Gaber,23,5,Midfielder,https://media.api-sports.io/football/players/200981.png,1569,Qatar
2532,Boualem Khoukhi,35,16,Defender,https://media.api-sports.io/football/players/2532.png,1569,Qatar
42288,Lucas Mendes,35,3,Defender,https://media.api-sports.io/football/players/42288.png,1569,Qatar
366516,G. Laye,27,4,Defender,https://media.api-sports.io/football/players/366516.png,1569,Qatar
2530,Pedro Miguel,35,2,Defender,https://media.api-sports.io/football/players/2530.png,1569,Qatar
2535,Assim Madibo,29,23,Midfielder,https://media.api-sports.io/football/players/2535.png,1569,Qatar
42286,Ahmed Al Ganehi,25,17,Attacker,https://media.api-sports.io/football/players/42286.png,1569,Qatar
2533,Abdulaziz Hatem,35,6,Midfielder,https://media.api-sports.io/football/players/2533.png,1569,Qatar
2537,Karim Boudiaf,35,12,Midfielder,https://media.api-sports.io/football/players/2537.png,1569,Qatar
2539,Ahmed Fathi,32,20,Midfielder,https://media.api-sports.io/football/players/2539.png,1569,Qatar
2545,Hassan Al Haydos,35,10,Attacker,https://media.api-sports.io/football/players/2545.png,1569,Qatar
283174,Mohamed Al Manai,22,26,Midfielder,https://media.api-sports.io/football/players/283174.png,1569,Qatar
542541,Y. Abdurisag,26,15,Attacker,https://media.api-sports.io/football/players/542541.png,1569,Qatar
2544,Akram Afif,29,11,Attacker,https://media.api-sports.io/football/players/2544.png,1569,Qatar
2542,Ahmed Alaa,32,7,Attacker,https://media.api-sports.io/football/players/2542.png,1569,Qatar
2543,Almoez Ali,29,19,Attacker,https://media.api-sports.io/football/players/2543.png,1569,Qatar
42075,Edmilson Junior,31,8,Attacker,https://media.api-sports.io/football/players/42075.png,1569,Qatar
423737,Tahsin Jamshid,19,24,Attacker,https://media.api-sports.io/football/players/423737.png,1569,Qatar
42089,Mohammed Muntari,32,9,Attacker,https://media.api-sports.io/football/players/42089.png,1569,Qatar
