id,name,age,number,position,photo,team_id,team_name
1106,C. Gordon,43,21,Goalkeeper,https://media.api-sports.io/football/players/1106.png,1108,Scotland
18933,A. Gunn,29,1,Goalkeeper,https://media.api-sports.io/football/players/18933.png,1108,Scotland
44937,L. Kelly,29,12,Goalkeeper,https://media.api-sports.io/football/players/44937.png,1108,Scotland
19066,G. Hanley,34,5,Defender,https://media.api-sports.io/football/players/19066.png,1108,Scotland
1111,J. Hendry,30,13,Defender,https://media.api-sports.io/football/players/1111.png,1108,Scotland
44871,A. Hickey,23,2,Defender,https://media.api-sports.io/football/players/44871.png,1108,Scotland
19987,D. Hyam,30,16,Defender,https://media.api-sports.io/football/players/19987.png,1108,Scotland
44811,S. McKenna,29,26,Defender,https://media.api-sports.io/football/players/44811.png,1108,Scotland
138417,N. Patterson,24,22,Defender,https://media.api-sports.io/football/players/138417.png,1108,Scotland
1115,A. Ralston,27,24,Defender,https://media.api-sports.io/football/players/1115.png,1108,Scotland
289,A. Robertson,31,3,Defender,https://media.api-sports.io/football/players/289.png,1108,Scotland
44865,J. Souttar,29,15,Defender,https://media.api-sports.io/football/players/44865.png,1108,Scotland
1117,K. Tierney,28,6,Midfielder,https://media.api-sports.io/football/players/1117.png,1108,Scotland
1125,R. Christie,30,11,Midfielder,https://media.api-sports.io/football/players/1125.png,1108,Scotland
44814,L. Ferguson,26,19,Midfielder,https://media.api-sports.io/football/players/44814.png,1108,Scotland
557460,T. Fletcher,18,8,Midfielder,https://media.api-sports.io/football/players/557460.png,1108,Scotland
19191,J.  McGinn,31,7,Midfielder,https://media.api-sports.io/football/players/19191.png,1108,Scotland
19077,K. McLean,33,23,Midfielder,https://media.api-sports.io/football/players/19077.png,1108,Scotland
903,S. McTominay,29,4,Attacker,https://media.api-sports.io/football/players/903.png,1108,Scotland
19524,C. Adams,29,10,Attacker,https://media.api-sports.io/football/players/19524.png,1108,Scotland
45307,L. Dykes,30,9,Attacker,https://media.api-sports.io/football/players/45307.png,1108,Scotland
343576,B. Doak,20,17,Midfielder,https://media.api-sports.io/football/players/343576.png,1108,Scotland
8794,G. Hirst,26,18,Attacker,https://media.api-sports.io/football/players/8794.png,1108,Scotland
45175,L. Shankland,30,20,Attacker,https://media.api-sports.io/football/players/45175.png,1108,Scotland
45078,R. Stewart,29,14,Attacker,https://media.api-sports.io/football/players/45078.png,1108,Scotland
433272,Findlay Curtis,19,25,Attacker,https://media.api-sports.io/football/players/433272.png,1108,Scotland
