id,name,age,number,position,photo,team_id,team_name
49423,S. Ben Hsan,29,22,Goalkeeper,https://media.api-sports.io/football/players/49423.png,28,Tunisia
533394,C. Abdelmouhib,24,1,Goalkeeper,https://media.api-sports.io/football/players/533394.png,28,Tunisia
49424,A. Dahmen,28,16,Goalkeeper,https://media.api-sports.io/football/players/49424.png,28,Tunisia
49583,A. Abdi,32,2,Midfielder,https://media.api-sports.io/football/players/49583.png,28,Tunisia
393977,A. Arous,21,5,Defender,https://media.api-sports.io/football/players/393977.png,28,Tunisia
135059,A. Ben Hmida,30,21,Defender,https://media.api-sports.io/football/players/135059.png,28,Tunisia
2945,D. Bronn,30,6,Defender,https://media.api-sports.io/football/players/2945.png,28,Tunisia
533360,R. Chikhaoui,21,24,Defender,https://media.api-sports.io/football/players/533360.png,28,Tunisia
375608,M. Neffati,21,23,Defender,https://media.api-sports.io/football/players/375608.png,28,Tunisia
163068,O. Rekik,24,4,Defender,https://media.api-sports.io/football/players/163068.png,28,Tunisia
50030,M. Talbi,27,3,Defender,https://media.api-sports.io/football/players/50030.png,28,Tunisia
18942,Y. Valery,26,20,Midfielder,https://media.api-sports.io/football/players/18942.png,28,Tunisia
49469,M. Ben Ouanes,31,12,Midfielder,https://media.api-sports.io/football/players/49469.png,28,Tunisia
533295,K. Ayari,20,14,Attacker,https://media.api-sports.io/football/players/533295.png,28,Tunisia
310196,Ismaël Gharbi,21,11,Attacker,https://media.api-sports.io/football/players/310196.png,28,Tunisia
25300,R. Khedira,31,13,Midfielder,https://media.api-sports.io/football/players/25300.png,28,Tunisia
180560,H. Mejbri,22,10,Attacker,https://media.api-sports.io/football/players/180560.png,28,Tunisia
21587,E. Skhiri,30,17,Defender,https://media.api-sports.io/football/players/21587.png,28,Tunisia
199310,A. Ben Slimane,24,25,Attacker,https://media.api-sports.io/football/players/199310.png,28,Tunisia
67195,H. Mahmoud,25,15,Midfielder,https://media.api-sports.io/football/players/67195.png,28,Tunisia
57518,S. Tounekti,23,26,Attacker,https://media.api-sports.io/football/players/57518.png,28,Tunisia
42012,E. Achouri,26,7,Midfielder,https://media.api-sports.io/football/players/42012.png,28,Tunisia
2962,F. Chaouat,29,19,Attacker,https://media.api-sports.io/football/players/2962.png,28,Tunisia
566059,R. Elloumi,18,18,Attacker,https://media.api-sports.io/football/players/566059.png,28,Tunisia
344862,H. Mastouri,28,9,Attacker,https://media.api-sports.io/football/players/344862.png,28,Tunisia
323974,E. Saad,26,8,Attacker,https://media.api-sports.io/football/players/323974.png,28,Tunisia
