id,name,age,number,position,photo,team_id,team_name
50132,A. Bayindir,27,12,Goalkeeper,https://media.api-sports.io/football/players/50132.png,777,Türkiye
49866,U. Çakir,29,23,Goalkeeper,https://media.api-sports.io/football/players/49866.png,777,Türkiye
49837,M. Günok,36,1,Goalkeeper,https://media.api-sports.io/football/players/49837.png,777,Türkiye
62490,S. Akaydin,31,25,Defender,https://media.api-sports.io/football/players/62490.png,777,Türkiye
61837,A. Bardakci,31,14,Defender,https://media.api-sports.io/football/players/61837.png,777,Türkiye
22222,Z. Çelik,28,2,Defender,https://media.api-sports.io/football/players/22222.png,777,Türkiye
30521,M. Demiral,27,3,Defender,https://media.api-sports.io/football/players/30521.png,777,Türkiye
50057,E. Elmali,25,13,Midfielder,https://media.api-sports.io/football/players/50057.png,777,Türkiye
26300,O. Kabak,25,15,Defender,https://media.api-sports.io/football/players/26300.png,777,Türkiye
1361,F. Kadioglu,26,20,Defender,https://media.api-sports.io/football/players/1361.png,777,Türkiye
1719,M. Müldür,26,18,Defender,https://media.api-sports.io/football/players/1719.png,777,Türkiye
18776,Ç. Söyüncü,29,4,Defender,https://media.api-sports.io/football/players/18776.png,777,Türkiye
1640,H. Çalhanoglu,31,10,Midfielder,https://media.api-sports.io/football/players/1640.png,777,Türkiye
25448,K. Ayhan,31,22,Defender,https://media.api-sports.io/football/players/25448.png,777,Türkiye
37155,O. Kokçu,25,6,Midfielder,https://media.api-sports.io/football/players/37155.png,777,Türkiye
24807,S. Özcan,27,5,Midfielder,https://media.api-sports.io/football/players/24807.png,777,Türkiye
214463,I. Yüksek,27,16,Midfielder,https://media.api-sports.io/football/players/214463.png,777,Türkiye
339887,C. Uzun,20,26,Midfielder,https://media.api-sports.io/football/players/339887.png,777,Türkiye
134590,O. Aydin,25,24,Attacker,https://media.api-sports.io/football/players/134590.png,777,Türkiye
291964,A. Güler,20,8,Attacker,https://media.api-sports.io/football/players/291964.png,777,Türkiye
454,Y. Akgün,25,19,Midfielder,https://media.api-sports.io/football/players/454.png,777,Türkiye
142959,K. Aktürkoglu,27,7,Attacker,https://media.api-sports.io/football/players/142959.png,777,Türkiye
388570,D. Gül,21,9,Attacker,https://media.api-sports.io/football/players/388570.png,777,Türkiye
49857,I. Kahveci,30,17,Midfielder,https://media.api-sports.io/football/players/49857.png,777,Türkiye
339883,K. Yildiz,20,11,Midfielder,https://media.api-sports.io/football/players/339883.png,777,Türkiye
63274,B. Yilmaz,25,21,Midfielder,https://media.api-sports.io/football/players/63274.png,777,Türkiye
