roster_nation,club_appearances,club_minutes,club_goals,club_assists,club_passes_total,club_passes_key,club_shots_total,club_shots_on_target,club_tackles_total,club_duels_total,club_duels_won,club_avg_rating,intl_appearances,intl_minutes,intl_goals,intl_assists,intl_passes_total,intl_passes_key,intl_shots_total,intl_shots_on_target,intl_tackles_total,intl_duels_total,intl_duels_won,intl_avg_rating
Algeria,89.6923076923077,6065.653846153846,11.0,8.916666666666666,2886.75,84.04347826086956,80.5,39.95454545454545,108.04347826086956,617.125,309.375,6.239122654368668,17.55,1189.7,2.4,0.7,369.15,7.647058823529412,7.529411764705882,3.933333333333333,12.88888888888889,63.55,33.2,4.899713483302904
Argentina,121.53846153846153,8683.26923076923,19.384615384615383,12.423076923076923,4787.7692307692305,109.4,124.65217391304348,64.04347826086956,147.46153846153845,839.9230769230769,444.38461538461536,7.0147595985907465,13.692307692307692,815.0769230769231,2.1538461538461537,1.2173913043478262,344.9166666666667,8.363636363636363,10.944444444444445,5.882352941176471,11.0,55.708333333333336,29.5,5.596911847953913
Australia,84.6923076923077,5966.576923076923,6.269230769230769,5.6923076923076925,2757.8846153846152,48.48,52.21739130434783,23.695652173913043,97.36,547.1923076923077,290.84615384615387,6.373643402987546,8.916666666666666,594.125,0.782608695652174,0.21052631578947367,233.6086956521739,3.9375,5.642857142857143,3.1818181818181817,7.55,48.72727272727273,26.181818181818183,5.718686357277403
Austria,93.88461538461539,6499.692307692308,7.0,6.6923076923076925,3233.3076923076924,55.5,58.130434782608695,25.82608695652174,110.88461538461539,579.9615384615385,299.0,6.771343300399151,19.76,1325.52,2.72,1.8,577.1739130434783,13.85,15.777777777777779,9.1875,21.0,104.3913043478261,52.04347826086956,5.46589616626331
Belgium,134.03846153846155,9922.038461538461,14.26923076923077,13.192307692307692,5164.846153846154,108.5,93.30434782608695,46.91304347826087,151.30769230769232,837.9230769230769,448.9230769230769,6.8030779811889,18.76923076923077,1277.7692307692307,3.44,2.0434782608695654,540.2083333333334,17.6,14.904761904761905,8.2,14.818181818181818,99.26086956521739,53.34782608695652,4.969652660555563
Bosnia & Herzegovina,102.38461538461539,6581.7307692307695,12.538461538461538,6.04,2591.56,51.08,72.65217391304348,34.69565217391305,83.91666666666667,557.64,278.76,5.7398190703125005,24.083333333333332,1497.25,2.7083333333333335,1.0,496.4782608695652,13.9,19.238095238095237,9.15,18.238095238095237,128.69565217391303,65.95652173913044,5.342294400828837
Brazil,132.76923076923077,9862.73076923077,20.692307692307693,10.115384615384615,5034.423076923077,95.88461538461539,127.34782608695652,62.30434782608695,156.8,946.6923076923077,495.0769230769231,7.020035491547172,9.307692307692308,603.3846153846154,1.28,0.6818181818181818,268.5,8.0,7.642857142857143,4.333333333333333,10.05,45.04761904761905,23.142857142857142,4.259491751858199
Canada,105.96153846153847,7341.7692307692305,13.76923076923077,7.1923076923076925,3193.1923076923076,59.0,67.08695652173913,37.72727272727273,98.46153846153847,644.0,324.0769230769231,6.3891169236099845,20.0,1122.32,1.48,1.0833333333333333,414.1666666666667,11.090909090909092,10.409090909090908,5.947368421052632,24.304347826086957,109.29166666666667,55.833333333333336,6.359095561905445
Cape Verde Islands,87.5,5459.692307692308,8.307692307692308,4.653846153846154,2028.3846153846155,50.69565217391305,59.21739130434783,26.863636363636363,72.3076923076923,530.0769230769231,262.46153846153845,6.274983753355242,27.695652173913043,1764.391304347826,2.391304347826087,1.6,668.0,15.4,16.4,8.11111111111111,27.857142857142858,178.8095238095238,85.71428571428571,5.0031787526196885
Colombia,119.03846153846153,8934.653846153846,17.923076923076923,11.346153846153847,3892.653846153846,102.57692307692308,130.1304347826087,62.130434782608695,137.34615384615384,910.4615384615385,454.84615384615387,6.773515634160579,9.961538461538462,656.3461538461538,1.3461538461538463,0.8,212.28,7.0,6.705882352941177,3.642857142857143,10.894736842105264,43.5,21.958333333333332,5.052350140989814
Congo DR,94.5,6340.7692307692305,11.0,4.769230769230769,2460.5,53.28,65.34782608695652,31.73913043478261,83.1923076923077,536.1923076923077,262.65384615384613,6.6920853659942034,16.73913043478261,1066.2173913043478,1.434782608695652,0.5454545454545454,263.5652173913044,6.714285714285714,8.473684210526315,4.0,12.19047619047619,70.21739130434783,34.0,5.122614401356175
Croatia,110.65384615384616,7615.346153846154,16.423076923076923,8.692307692307692,3769.6153846153848,83.42307692307692,94.73913043478261,46.30434782608695,91.11538461538461,648.5769230769231,333.7307692307692,6.936492393050991,21.576923076923077,1383.923076923077,2.769230769230769,1.12,636.52,15.869565217391305,15.173913043478262,7.913043478260869,16.130434782608695,106.58333333333333,54.5,5.690939290762821
Curaçao,79.04,4837.4,6.2,5.375,1739.64,42.916666666666664,39.56521739130435,19.59090909090909,83.69565217391305,430.16,212.16,6.078114559222383,11.090909090909092,747.1363636363636,0.9047619047619048,0.7777777777777778,251.94736842105263,6.933333333333334,5.705882352941177,3.142857142857143,13.176470588235293,61.470588235294116,30.647058823529413,4.739425268595519
