team,country_code,tournament_year,games_played,goals_for,goals_against,goal_difference,mean_scoring_margin,fifa_rank,fifa_ranking_points,fifa_ranking_date,fifa_country_name,t5league_players,top5_epl_players,top5_bundesliga_players,top5_laliga_players,top5_ligue1_players,top5_seriea_players,fifa_ranking_source_note,t5league_source_note
Spain,ESP,2026,8,14,1,13,1.625,8.0,1729.92,2024-06-20,Spain,26,7,1,17,1,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Germany,GER,2026,4,11,5,6,1.5,16.0,1646.78,2024-06-20,Germany,26,5,20,1,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Netherlands,NED,2026,4,11,5,6,1.5,7.0,1746.66,2024-06-20,Netherlands,23,16,1,1,1,4,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Mexico,MEX,2026,5,10,3,7,1.4,15.0,1652.33,2024-06-20,Mexico,6,2,0,2,0,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Argentina,ARG,2026,8,19,8,11,1.375,1.0,1860.14,2024-06-20,Argentina,21,6,1,7,5,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
France,FRA,2026,8,20,10,10,1.25,2.0,1837.47,2024-06-20,France,24,7,2,3,8,4,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Brazil,BRA,2026,5,10,4,6,1.2,4.0,1791.85,2024-06-20,Brazil,15,8,0,2,2,3,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Belgium,BEL,2026,6,14,7,7,1.1666666666666667,3.0,1797.98,2024-06-20,Belgium,20,7,1,2,5,5,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
England,ENG,2026,8,20,12,8,1.0,5.0,1787.88,2024-06-20,England,26,21,2,3,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Portugal,POR,2026,5,8,3,5,1.0,6.0,1747.04,2024-06-20,Portugal,17,7,0,4,4,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Colombia,COL,2026,5,5,1,4,0.8,12.0,1669.44,2024-06-20,Colombia,8,2,1,2,1,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Japan,JPN,2026,4,8,5,3,0.75,17.0,1628.81,2024-06-20,Japan,13,3,7,1,1,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Morocco,MAR,2026,6,10,6,4,0.6666666666666666,12.0,1669.44,2024-06-20,Morocco,17,4,2,4,6,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Switzerland,SUI,2026,6,10,6,4,0.6666666666666666,19.0,1617.24,2024-06-20,Switzerland,23,4,8,4,3,4,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
United States,USA,2026,5,11,8,3,0.6,11.0,1676.52,2024-06-20,USA,13,4,3,1,3,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Canada,CAN,2026,5,9,6,3,0.6,48.0,1461.74,2024-06-20,Canada,9,1,1,3,2,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
