team,country_code,fifa_rank,fifa_ranking_points,fifa_ranking_date,fifa_country_name,t5league_players,top5_epl_players,top5_bundesliga_players,top5_laliga_players,top5_ligue1_players,top5_seriea_players,fifa_ranking_source_note,t5league_source_note
Algeria,ALG,44.0,1474.13,2024-06-20,Algeria,11,1,4,0,5,1,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Argentina,ARG,1.0,1860.14,2024-06-20,Argentina,21,6,1,7,5,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Australia,AUS,23.0,1571.29,2024-06-20,Australia,5,0,2,1,0,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Austria,AUT,25.0,1560.03,2024-06-20,Austria,17,1,14,2,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Belgium,BEL,3.0,1797.98,2024-06-20,Belgium,20,7,1,2,5,5,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Bosnia and Herzegovina,BIH,75.0,1332.3,2024-06-20,Bosnia and Herzegovina,6,0,3,0,1,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Brazil,BRA,4.0,1791.85,2024-06-20,Brazil,15,8,0,2,2,3,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Canada,CAN,48.0,1461.74,2024-06-20,Canada,9,1,1,3,2,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Cape Verde,CPV,65.0,1380.53,2024-06-20,Cabo Verde,1,0,0,1,0,0,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Colombia,COL,12.0,1669.44,2024-06-20,Colombia,8,2,1,2,1,2,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Croatia,CRO,9.0,1728.3,2024-06-20,Croatia,17,2,5,3,0,7,"TEMPORARY / NOT FINAL: fifa_rank and fifa_ranking_points are taken from the repo file FIFA_Ranking_and_T5League_Modeling/fifa_ranking-2024-06-20.csv. Before Colby runs final 2026 evaluation, replace these with the official pre-tournament FIFA ranking from 2026-06-11.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
