tournament_year,team,games_played,goals_for,goals_against,goal_difference,mean_scoring_margin
2026,Spain,8,14,1,13,1.625
2026,Germany,4,11,5,6,1.5
2026,Netherlands,4,11,5,6,1.5
2026,Mexico,5,10,3,7,1.4
2026,Argentina,8,19,8,11,1.375
2026,France,8,20,10,10,1.25
2026,Brazil,5,10,4,6,1.2
2026,Belgium,6,14,7,7,1.1666666666666667
2026,England,8,20,12,8,1.0
2026,Portugal,5,8,3,5,1.0
2026,Colombia,5,5,1,4,0.8
2026,Japan,4,8,5,3,0.75
2026,Morocco,6,10,6,4,0.6666666666666666
2026,Switzerland,6,10,6,4,0.6666666666666666
2026,United States,5,11,8,3,0.6
2026,Canada,5,9,6,3,0.6
2026,Norway,6,13,11,2,0.3333333333333333
2026,Senegal,4,10,9,1,0.25
2026,Ivory Coast,4,5,4,1,0.25
2026,Egypt,5,8,7,1,0.2
2026,DR Congo,4,5,5,0,0.0
2026,Australia,4,3,3,0,0.0
2026,Iran,3,3,3,0,0.0
2026,Croatia,4,6,7,-1,-0.25
2026,Cape Verde,4,4,5,-1,-0.25
2026,Ghana,4,2,3,-1,-0.25
2026,Uruguay,3,3,4,-1,-0.3333333333333333
2026,South Korea,3,2,3,-1,-0.3333333333333333
2026,Ecuador,4,2,4,-2,-0.5
2026,South Africa,4,2,4,-2,-0.5
2026,Paraguay,5,3,6,-3,-0.6
2026,Turkiye,3,3,5,-2,-0.6666666666666666
2026,Sweden,4,7,10,-3,-0.75
2026,Austria,4,6,9,-3,-0.75
2026,Bosnia and Herzegovina,4,5,8,-3,-0.75
2026,Scotland,3,1,4,-3,-1.0
2026,Algeria,4,5,9,-4,-1.0
2026,Czechia,3,2,6,-4,-1.3333333333333333
2026,Saudi Arabia,3,1,5,-4,-1.3333333333333333
2026,Panama,3,0,4,-4,-1.3333333333333333
2026,Jordan,3,3,8,-5,-1.6666666666666667
2026,New Zealand,3,4,10,-6,-2.0
2026,Haiti,3,2,8,-6,-2.0
2026,Qatar,3,2,10,-8,-2.6666666666666665
2026,Curacao,3,1,9,-8,-2.6666666666666665
2026,Uzbekistan,3,2,11,-9,-3.0
2026,Tunisia,3,2,12,-10,-3.3333333333333335
2026,Iraq,3,1,12,-11,-3.6666666666666665
