team,country_code,tournament_year,games_played,goals_for,goals_against,goal_difference,mean_scoring_margin,fifa_rank,fifa_ranking_points,fifa_ranking_date,fifa_country_name,t5league_players,top5_epl_players,top5_bundesliga_players,top5_laliga_players,top5_ligue1_players,top5_seriea_players,fifa_ranking_source_note,t5league_source_note
Spain,ESP,2026,8,14,1,13,1.625,2.0,1874.71,2026-06-11,Spain,26,7,1,17,1,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Germany,GER,2026,4,11,5,6,1.5,10.0,1735.77,2026-06-11,Germany,26,5,20,1,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Netherlands,NED,2026,4,11,5,6,1.5,8.0,1753.57,2026-06-11,Netherlands,23,16,1,1,1,4,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Mexico,MEX,2026,5,10,3,7,1.4,14.0,1687.48,2026-06-11,Mexico,6,2,0,2,0,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Argentina,ARG,2026,8,19,8,11,1.375,1.0,1877.27,2026-06-11,Argentina,21,6,1,7,5,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
France,FRA,2026,8,20,10,10,1.25,3.0,1870.7,2026-06-11,France,24,7,2,3,8,4,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Brazil,BRA,2026,5,10,4,6,1.2,6.0,1765.86,2026-06-11,Brazil,15,8,0,2,2,3,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Belgium,BEL,2026,6,14,7,7,1.1666666666666667,9.0,1742.24,2026-06-11,Belgium,20,7,1,2,5,5,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
England,ENG,2026,8,20,12,8,1.0,4.0,1828.02,2026-06-11,England,26,21,2,3,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Portugal,POR,2026,5,8,3,5,1.0,5.0,1767.85,2026-06-11,Portugal,17,7,0,4,4,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Colombia,COL,2026,5,5,1,4,0.8,13.0,1698.35,2026-06-11,Colombia,8,2,1,2,1,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Japan,JPN,2026,4,8,5,3,0.75,18.0,1661.58,2026-06-11,Japan,13,3,7,1,1,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Morocco,MAR,2026,6,10,6,4,0.6666666666666666,7.0,1755.1,2026-06-11,Morocco,17,4,2,4,6,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Switzerland,SUI,2026,6,10,6,4,0.6666666666666666,19.0,1650.06,2026-06-11,Switzerland,23,4,8,4,3,4,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
United States,USA,2026,5,11,8,3,0.6,17.0,1671.23,2026-06-11,USA,13,4,3,1,3,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Canada,CAN,2026,5,9,6,3,0.6,30.0,1559.48,2026-06-11,Canada,9,1,1,3,2,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Norway,NOR,2026,6,13,11,2,0.3333333333333333,31.0,1557.44,2026-06-11,Norway,17,7,3,2,0,5,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Senegal,SEN,2026,4,10,9,1,0.25,15.0,1684.07,2026-06-11,Senegal,20,7,2,2,8,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Ivory Coast,CIV,2026,4,5,4,1,0.25,33.0,1540.87,2026-06-11,Côte d'Ivoire,13,3,2,1,4,3,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Egypt,EGY,2026,5,8,7,1,0.2,29.0,1562.37,2026-06-11,Egypt,4,2,0,1,1,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
DR Congo,COD,2026,4,5,5,0,0.0,46.0,1474.43,2026-06-11,Congo DR,10,4,0,2,4,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Australia,AUS,2026,4,3,3,0,0.0,27.0,1579.34,2026-06-11,Australia,5,0,2,1,0,2,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Iran,IRN,2026,3,3,3,0,0.0,20.0,1619.58,2026-06-11,IR Iran,0,0,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Croatia,CRO,2026,4,6,7,-1,-0.25,11.0,1714.87,2026-06-11,Croatia,17,2,5,3,0,7,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Cape Verde,CPV,2026,4,4,5,-1,-0.25,67.0,1371.11,2026-06-11,Cabo Verde,1,0,0,1,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Ghana,GHA,2026,4,2,3,-1,-0.25,73.0,1346.88,2026-06-11,Ghana,12,1,1,4,6,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Uruguay,URU,2026,3,3,4,-1,-0.3333333333333333,16.0,1673.07,2026-06-11,Uruguay,8,3,0,4,0,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
South Korea,KOR,2026,3,2,3,-1,-0.3333333333333333,25.0,1591.63,2026-06-11,Korea Republic,5,1,3,0,1,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Ecuador,ECU,2026,4,2,4,-2,-0.5,23.0,1598.52,2026-06-11,Ecuador,6,3,1,0,1,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
South Africa,RSA,2026,4,2,4,-2,-0.5,60.0,1428.38,2026-06-11,South Africa,1,1,0,0,0,0,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
Paraguay,PAR,2026,5,3,6,-3,-0.6,41.0,1505.35,2026-06-11,Paraguay,4,2,0,0,1,1,"Official FIFA/Coca-Cola Men's World Ranking dated 11 June 2026 (pre-2026 World Cup release), sourced from inside.fifa.com/fifa-world-ranking/men. Replaces the placeholder that had used the 2024-06-20 ranking snapshot. fifa_rank = ordinal position, fifa_ranking_points = raw points, both from the same official release.",FBref 2026 World Cup Players by League table; top-five count = English Premier League + German Bundesliga + Spanish La Liga + French Ligue 1 + Italian Serie A. Counts were parsed from the FBref Players by League table/search snippet.
