id,name,age,number,position,photo,team_id,team_name
353883,P. Beach,22,18,Goalkeeper,https://media.api-sports.io/football/players/353883.png,20,Australia
6870,P. Izzo,30,12,Goalkeeper,https://media.api-sports.io/football/players/6870.png,20,Australia
2741,M. Ryan,33,1,Goalkeeper,https://media.api-sports.io/football/players/2741.png,20,Australia
225,A. Behich,35,16,Midfielder,https://media.api-sports.io/football/players/225.png,20,Australia
337587,J. Bos,23,5,Midfielder,https://media.api-sports.io/football/players/337587.png,20,Australia
20457,C. Burgess,30,21,Defender,https://media.api-sports.io/football/players/20457.png,20,Australia
348568,A. Circati,22,3,Defender,https://media.api-sports.io/football/players/348568.png,20,Australia
33847,J. Geria,32,6,Defender,https://media.api-sports.io/football/players/33847.png,20,Australia
426480,L. Herrington,18,25,Defender,https://media.api-sports.io/football/players/426480.png,20,Australia
20079,H. Souttar,27,19,Defender,https://media.api-sports.io/football/players/20079.png,20,Australia
2742,M. Degenek,31,2,Defender,https://media.api-sports.io/football/players/2742.png,20,Australia
6808,J. Italiano,24,4,Defender,https://media.api-sports.io/football/players/6808.png,20,Australia
153622,K. Trewin,24,15,Defender,https://media.api-sports.io/football/players/153622.png,20,Australia
2749,J. Irvine,32,22,Midfielder,https://media.api-sports.io/football/players/2749.png,20,Australia
6832,C. Devlin,27,14,Midfielder,https://media.api-sports.io/football/players/6832.png,20,Australia
7050,A. O Neill,27,13,Midfielder,https://media.api-sports.io/football/players/7050.png,20,Australia
441269,Paul Okon-Engstler,20,24,Midfielder,https://media.api-sports.io/football/players/441269.png,20,Australia
6904,C. Metcalfe,26,8,Midfielder,https://media.api-sports.io/football/players/6904.png,20,Australia
38123,A. Hrustic,29,10,Midfielder,https://media.api-sports.io/football/players/38123.png,20,Australia
342035,C. Volpato,22,20,Attacker,https://media.api-sports.io/football/players/342035.png,20,Australia
338014,N. Irankunda,19,17,Midfielder,https://media.api-sports.io/football/players/338014.png,20,Australia
2751,M. Leckie,34,7,Midfielder,https://media.api-sports.io/football/players/2751.png,20,Australia
2755,A. Mabil,30,11,Midfielder,https://media.api-sports.io/football/players/2755.png,20,Australia
296645,T. Yengi,25,26,Attacker,https://media.api-sports.io/football/players/296645.png,20,Australia
198352,M. Touré,21,9,Attacker,https://media.api-sports.io/football/players/198352.png,20,Australia
312459,N. Velupillay,24,23,Midfielder,https://media.api-sports.io/football/players/312459.png,20,Australia
