id,name,age,number,position,photo,team_id,team_name
524,D. Kotarski,25,23,Goalkeeper,https://media.api-sports.io/football/players/524.png,3,Croatia
1305,D. Livakovic,31,1,Goalkeeper,https://media.api-sports.io/football/players/1305.png,3,Croatia
14268,I. Pandur,25,12,Goalkeeper,https://media.api-sports.io/football/players/14268.png,3,Croatia
1902,D. Caleta-Car,29,5,Defender,https://media.api-sports.io/football/players/1902.png,3,Croatia
30827,M. Erlic,27,25,Defender,https://media.api-sports.io/football/players/30827.png,3,Croatia
129033,J. Gvardiol,23,4,Defender,https://media.api-sports.io/football/players/129033.png,3,Croatia
1084,M. Pongracic,28,3,Defender,https://media.api-sports.io/football/players/1084.png,3,Croatia
125171,J. Stanisic,25,2,Midfielder,https://media.api-sports.io/football/players/125171.png,3,Croatia
14701,J. Sutalo,25,6,Defender,https://media.api-sports.io/football/players/14701.png,3,Croatia
387521,L. Vuskovic,18,22,Defender,https://media.api-sports.io/football/players/387521.png,3,Croatia
295026,M. Baturina,22,16,Attacker,https://media.api-sports.io/football/players/295026.png,3,Croatia
284869,T. Fruk,24,19,Midfielder,https://media.api-sports.io/football/players/284869.png,3,Croatia
14395,K. Jakic,28,18,Midfielder,https://media.api-sports.io/football/players/14395.png,3,Croatia
2291,M. Kovacic,31,8,Midfielder,https://media.api-sports.io/football/players/2291.png,3,Croatia
754,L. Modric,40,10,Midfielder,https://media.api-sports.io/football/players/754.png,3,Croatia
1322,N. Moro,27,7,Midfielder,https://media.api-sports.io/football/players/1322.png,3,Croatia
2763,Mario Pasalic,30,15,Midfielder,https://media.api-sports.io/football/players/2763.png,3,Croatia
7332,L. Sucic,23,21,Midfielder,https://media.api-sports.io/football/players/7332.png,3,Croatia
348205,P. Sucic,22,17,Attacker,https://media.api-sports.io/football/players/348205.png,3,Croatia
842,N. Vlasic,28,13,Midfielder,https://media.api-sports.io/football/players/842.png,3,Croatia
46746,A. Budimir,34,11,Attacker,https://media.api-sports.io/football/players/46746.png,3,Croatia
726,A. Kramaric,34,9,Midfielder,https://media.api-sports.io/football/players/726.png,3,Croatia
202696,I. Matanovic,22,20,Attacker,https://media.api-sports.io/football/players/202696.png,3,Croatia
66055,P. Musa,27,26,Attacker,https://media.api-sports.io/football/players/66055.png,3,Croatia
260865,Marco Pasalic,25,24,Midfielder,https://media.api-sports.io/football/players/260865.png,3,Croatia
207,I. Perisic,36,14,Defender,https://media.api-sports.io/football/players/207.png,3,Croatia
