id,name,age,number,position,photo,team_id,team_name
123742,J. Duverger,23,23,Goalkeeper,https://media.api-sports.io/football/players/123742.png,2386,Haiti
174768,A. Pierre,24,12,Goalkeeper,https://media.api-sports.io/football/players/174768.png,2386,Haiti
87789,J. Placide,38,1,Goalkeeper,https://media.api-sports.io/football/players/87789.png,2386,Haiti
20850,C. Arcus,29,2,Defender,https://media.api-sports.io/football/players/20850.png,2386,Haiti
573613,K. Thermoncy,20,3,Defender,https://media.api-sports.io/football/players/573613.png,2386,Haiti
12303,Ricardo Ade,35,4,Defender,https://media.api-sports.io/football/players/12303.png,2386,Haiti
1411,H. Delcroix,26,5,Defender,https://media.api-sports.io/football/players/1411.png,2386,Haiti
20655,J. Duverne,28,22,Defender,https://media.api-sports.io/football/players/20655.png,2386,Haiti
190747,M. Expérience,26,8,Defender,https://media.api-sports.io/football/players/190747.png,2386,Haiti
102505,D. Lacroix,32,13,Defender,https://media.api-sports.io/football/players/102505.png,2386,Haiti
275367,W. Paugain,24,24,Defender,https://media.api-sports.io/football/players/275367.png,2386,Haiti
20665,J. Bellegarde,27,10,Midfielder,https://media.api-sports.io/football/players/20665.png,2386,Haiti
338367,D. Jean-Jacques,25,17,Midfielder,https://media.api-sports.io/football/players/338367.png,2386,Haiti
318930,G. Métusala,27,14,Defender,https://media.api-sports.io/football/players/318930.png,2386,Haiti
371050,W. Pierre,21,26,Midfielder,https://media.api-sports.io/football/players/371050.png,2386,Haiti
540857,C. F. Sainte,23,6,Midfielder,https://media.api-sports.io/football/players/540857.png,2386,Haiti
194242,D. Simon,25,25,Midfielder,https://media.api-sports.io/football/players/194242.png,2386,Haiti
174915,J. Casimir,24,21,Midfielder,https://media.api-sports.io/football/players/174915.png,2386,Haiti
128766,L. Deedson,24,11,Midfielder,https://media.api-sports.io/football/players/128766.png,2386,Haiti
50958,D. Etienne,29,7,Attacker,https://media.api-sports.io/football/players/50958.png,2386,Haiti
48535,Y. Fortuné,26,19,Attacker,https://media.api-sports.io/football/players/48535.png,2386,Haiti
84087,W. Isidor,25,18,Attacker,https://media.api-sports.io/football/players/84087.png,2386,Haiti
21613,L. Joseph,25,16,Attacker,https://media.api-sports.io/football/players/21613.png,2386,Haiti
45020,D. Nazon,31,9,Attacker,https://media.api-sports.io/football/players/45020.png,2386,Haiti
8601,F. Pierrot,30,20,Attacker,https://media.api-sports.io/football/players/8601.png,2386,Haiti
162733,R. Providence,24,15,Midfielder,https://media.api-sports.io/football/players/162733.png,2386,Haiti
