id,name,age,number,position,photo,team_id,team_name
64190,Y. Fofana,25,1,Goalkeeper,https://media.api-sports.io/football/players/64190.png,1501,Ivory Coast
277046,M. Koné,23,16,Goalkeeper,https://media.api-sports.io/football/players/277046.png,1501,Ivory Coast
30393,A. Lafont,26,23,Goalkeeper,https://media.api-sports.io/football/players/30393.png,1501,Ivory Coast
135068,E. Agbadou,28,20,Defender,https://media.api-sports.io/football/players/135068.png,1501,Ivory Coast
354753,O. Diomande,22,2,Defender,https://media.api-sports.io/football/players/354753.png,1501,Ivory Coast
161747,G. Doué,23,17,Defender,https://media.api-sports.io/football/players/161747.png,1501,Ivory Coast
22002,G. Konan,30,3,Defender,https://media.api-sports.io/football/players/22002.png,1501,Ivory Coast
48119,O. Kossounou,24,7,Defender,https://media.api-sports.io/football/players/48119.png,1501,Ivory Coast
1807,E. Ndicka,26,21,Defender,https://media.api-sports.io/football/players/1807.png,1501,Ivory Coast
20836,C. Operi,28,13,Defender,https://media.api-sports.io/football/players/20836.png,1501,Ivory Coast
30504,W. Singo,25,5,Defender,https://media.api-sports.io/football/players/30504.png,1501,Ivory Coast
30807,S. Fofana,30,6,Midfielder,https://media.api-sports.io/football/players/30807.png,1501,Ivory Coast
474591,C. Inao Oulai,19,26,Midfielder,https://media.api-sports.io/football/players/474591.png,1501,Ivory Coast
1642,F. Kessié,29,8,Midfielder,https://media.api-sports.io/football/players/1642.png,1501,Ivory Coast
22149,I. Sangaré,28,18,Midfielder,https://media.api-sports.io/football/players/22149.png,1501,Ivory Coast
3243,J. Seri,34,4,Midfielder,https://media.api-sports.io/football/players/3243.png,1501,Ivory Coast
263228,P. Guiagon,24,25,Midfielder,https://media.api-sports.io/football/players/263228.png,1501,Ivory Coast
387643,B. Touré,19,24,Attacker,https://media.api-sports.io/football/players/387643.png,1501,Ivory Coast
301771,S. Adingra,23,10,Attacker,https://media.api-sports.io/football/players/301771.png,1501,Ivory Coast
275651,A. Bonny,22,9,Attacker,https://media.api-sports.io/football/players/275651.png,1501,Ivory Coast
334429,O. Diakité,22,14,Midfielder,https://media.api-sports.io/football/players/334429.png,1501,Ivory Coast
157997,A. Diallo,23,15,Midfielder,https://media.api-sports.io/football/players/157997.png,1501,Ivory Coast
513776,Y. Diomande,19,11,Midfielder,https://media.api-sports.io/football/players/513776.png,1501,Ivory Coast
137303,E. Guessand,24,22,Attacker,https://media.api-sports.io/football/players/137303.png,1501,Ivory Coast
3246,N. Pépé,30,19,Midfielder,https://media.api-sports.io/football/players/3246.png,1501,Ivory Coast
162707,E. Wahi,22,12,Attacker,https://media.api-sports.io/football/players/162707.png,1501,Ivory Coast
