id,name,age,number,position,photo,team_id,team_name
35769,C. Acevedo,29,12,Goalkeeper,https://media.api-sports.io/football/players/35769.png,16,Mexico
2098,G. Ochoa,40,13,Goalkeeper,https://media.api-sports.io/football/players/2098.png,16,Mexico
270774,J. Rangel,25,1,Goalkeeper,https://media.api-sports.io/football/players/270774.png,16,Mexico
2881,J. Gallardo,31,23,Defender,https://media.api-sports.io/football/players/2881.png,16,Mexico
2873,C. Montes,28,3,Defender,https://media.api-sports.io/football/players/2873.png,16,Mexico
127227,I. Reyes,25,15,Defender,https://media.api-sports.io/football/players/127227.png,16,Mexico
2878,J. Sánchez,28,2,Defender,https://media.api-sports.io/football/players/2878.png,16,Mexico
35544,J. Vásquez,27,5,Defender,https://media.api-sports.io/football/players/35544.png,16,Mexico
2869,E. Álvarez,28,4,Defender,https://media.api-sports.io/football/players/2869.png,16,Mexico
390002,M. Chávez,21,20,Defender,https://media.api-sports.io/football/players/390002.png,16,Mexico
313383,O. Vargas,20,18,Midfielder,https://media.api-sports.io/football/players/313383.png,16,Mexico
35690,L. Chávez,29,24,Midfielder,https://media.api-sports.io/football/players/35690.png,16,Mexico
750,Álvaro Fidalgo,28,8,Midfielder,https://media.api-sports.io/football/players/750.png,16,Mexico
212233,B. Gutiérrez,22,26,Midfielder,https://media.api-sports.io/football/players/212233.png,16,Mexico
266345,É. Lira,25,6,Midfielder,https://media.api-sports.io/football/players/266345.png,16,Mexico
482605,G. Mora,17,19,Midfielder,https://media.api-sports.io/football/players/482605.png,16,Mexico
35576,O. Pineda,29,17,Midfielder,https://media.api-sports.io/football/players/35576.png,16,Mexico
35970,L. Romo,30,7,Midfielder,https://media.api-sports.io/football/players/35970.png,16,Mexico
2879,R. Alvarado,27,25,Attacker,https://media.api-sports.io/football/players/2879.png,16,Mexico
94562,S. Giménez,24,11,Attacker,https://media.api-sports.io/football/players/94562.png,16,Mexico
291713,A. González,22,14,Attacker,https://media.api-sports.io/football/players/291713.png,16,Mexico
36111,C. Huerta,25,21,Midfielder,https://media.api-sports.io/football/players/36111.png,16,Mexico
2887,R. Jiménez,34,9,Attacker,https://media.api-sports.io/football/players/2887.png,16,Mexico
36088,G. Martínez,30,22,Attacker,https://media.api-sports.io/football/players/36088.png,16,Mexico
35532,J. Quiñones,28,16,Midfielder,https://media.api-sports.io/football/players/35532.png,16,Mexico
2889,A. Vega,28,10,Attacker,https://media.api-sports.io/football/players/2889.png,16,Mexico
