id,name,age,number,position,photo,team_id,team_name
2967,L. Mejía,34,1,Goalkeeper,https://media.api-sports.io/football/players/2967.png,11,Panama
2968,O. Mosquera,31,22,Goalkeeper,https://media.api-sports.io/football/players/2968.png,11,Panama
57861,C. Samudio,31,12,Goalkeeper,https://media.api-sports.io/football/players/57861.png,11,Panama
7197,A. Andrade,27,16,Defender,https://media.api-sports.io/football/players/7197.png,11,Panama
2975,C. Blackman,27,2,Midfielder,https://media.api-sports.io/football/players/2975.png,11,Panama
57739,J. Córdoba,24,3,Defender,https://media.api-sports.io/football/players/57739.png,11,Panama
2970,É. Davis,34,15,Defender,https://media.api-sports.io/football/players/2970.png,11,Panama
2971,F. Escobar,30,4,Defender,https://media.api-sports.io/football/players/2971.png,11,Panama
328148,E. Fariña,24,5,Defender,https://media.api-sports.io/football/players/328148.png,11,Panama
57803,J. Gutiérrez,27,26,Defender,https://media.api-sports.io/football/players/57803.png,11,Panama
71230,C. Harvey,25,14,Midfielder,https://media.api-sports.io/football/players/71230.png,11,Panama
81659,R. Miller,33,25,Defender,https://media.api-sports.io/football/players/81659.png,11,Panama
2973,A. Murillo,29,23,Midfielder,https://media.api-sports.io/football/players/2973.png,11,Panama
57667,J. Ramos,28,13,Defender,https://media.api-sports.io/football/players/57667.png,11,Panama
57807,A. Carrasquilla,27,8,Midfielder,https://media.api-sports.io/football/players/57807.png,11,Panama
2977,A. Godoy,35,20,Midfielder,https://media.api-sports.io/football/players/2977.png,11,Panama
554208,C. Martinez,28,6,Midfielder,https://media.api-sports.io/football/players/554208.png,11,Panama
2979,J. Rodríguez,27,7,Attacker,https://media.api-sports.io/football/players/2979.png,11,Panama
46855,Y. Bárcenas,32,11,Midfielder,https://media.api-sports.io/football/players/46855.png,11,Panama
96615,I. Díaz,28,10,Attacker,https://media.api-sports.io/football/players/96615.png,11,Panama
2978,A. Quintero,38,19,Midfielder,https://media.api-sports.io/football/players/2978.png,11,Panama
57875,C. Yanis,29,21,Midfielder,https://media.api-sports.io/football/players/57875.png,11,Panama
2983,J. Fajardo,32,17,Attacker,https://media.api-sports.io/football/players/2983.png,11,Panama
292396,A. Londoño,24,24,Midfielder,https://media.api-sports.io/football/players/292396.png,11,Panama
57910,T. Rodríguez,26,9,Attacker,https://media.api-sports.io/football/players/57910.png,11,Panama
51648,C. Waterman,34,18,Attacker,https://media.api-sports.io/football/players/51648.png,11,Panama
