id,name,age,number,position,photo,team_id,team_name
535737,R. Fernandez,37,1,Goalkeeper,https://media.api-sports.io/football/players/535737.png,2380,Paraguay
70852,O. Gill,25,12,Goalkeeper,https://media.api-sports.io/football/players/70852.png,2380,Paraguay
51733,G. Olveira,32,22,Goalkeeper,https://media.api-sports.io/football/players/51733.png,2380,Paraguay
6168,O. Alderete,29,3,Defender,https://media.api-sports.io/football/players/6168.png,2380,Paraguay
2499,J. Alonso,32,6,Defender,https://media.api-sports.io/football/players/2499.png,2380,Paraguay
195992,J. Cáceres,25,4,Defender,https://media.api-sports.io/football/players/195992.png,2380,Paraguay
2500,F. Balbuena,34,5,Defender,https://media.api-sports.io/football/players/2500.png,2380,Paraguay
2502,G. Gómez,32,15,Defender,https://media.api-sports.io/football/players/2502.png,2380,Paraguay
425020,A. Maidana,20,26,Defender,https://media.api-sports.io/football/players/425020.png,2380,Paraguay
35808,G. Velázquez,34,2,Defender,https://media.api-sports.io/football/players/35808.png,2380,Paraguay
70732,J. Canale,29,13,Defender,https://media.api-sports.io/football/players/70732.png,2380,Paraguay
195107,D. Bobadilla,24,16,Midfielder,https://media.api-sports.io/football/players/195107.png,2380,Paraguay
119128,G. Caballero,24,24,Midfielder,https://media.api-sports.io/football/players/119128.png,2380,Paraguay
6236,A. Cubas,29,14,Midfielder,https://media.api-sports.io/football/players/6236.png,2380,Paraguay
305832,M. Galarza,23,23,Midfielder,https://media.api-sports.io/football/players/305832.png,2380,Paraguay
278370,D. Gómez,22,8,Midfielder,https://media.api-sports.io/football/players/278370.png,2380,Paraguay
106485,Maurício,24,11,Midfielder,https://media.api-sports.io/football/players/106485.png,2380,Paraguay
70767,B. Ojeda,25,20,Midfielder,https://media.api-sports.io/football/players/70767.png,2380,Paraguay
196298,R. Sosa,26,7,Attacker,https://media.api-sports.io/football/players/196298.png,2380,Paraguay
2507,M. Almirón,31,10,Midfielder,https://media.api-sports.io/football/players/2507.png,2380,Paraguay
2514,A. Romero,30,17,Attacker,https://media.api-sports.io/football/players/2514.png,2380,Paraguay
95460,A. Arce,30,18,Attacker,https://media.api-sports.io/football/players/95460.png,2380,Paraguay
6483,G. Ávalos,35,21,Attacker,https://media.api-sports.io/football/players/6483.png,2380,Paraguay
70747,J. Enciso,21,19,Attacker,https://media.api-sports.io/football/players/70747.png,2380,Paraguay
70670,I. Pitta,26,25,Attacker,https://media.api-sports.io/football/players/70670.png,2380,Paraguay
2522,A. Sanabria,29,9,Attacker,https://media.api-sports.io/football/players/2522.png,2380,Paraguay
