id,name,age,number,position,photo,team_id,team_name
46417,S. Chaine,29,16,Goalkeeper,https://media.api-sports.io/football/players/46417.png,1531,South Africa
46245,R. Goss,31,22,Goalkeeper,https://media.api-sports.io/football/players/46245.png,1531,South Africa
3275,R. Williams,33,1,Goalkeeper,https://media.api-sports.io/football/players/3275.png,1531,South Africa
163041,B. Cross,24,26,Defender,https://media.api-sports.io/football/players/163041.png,1531,South Africa
430078,S. Kabini,21,18,Defender,https://media.api-sports.io/football/players/430078.png,1531,South Africa
392387,O. Makhanya,21,24,Defender,https://media.api-sports.io/football/players/392387.png,1531,South Africa
510799,M. Mbokazi,20,14,Defender,https://media.api-sports.io/football/players/510799.png,1531,South Africa
46334,A. Modiba,30,6,Defender,https://media.api-sports.io/football/players/46334.png,1531,South Africa
46601,K. Mudau,30,20,Defender,https://media.api-sports.io/football/players/46601.png,1531,South Africa
474630,K. Ndamane,21,3,Defender,https://media.api-sports.io/football/players/474630.png,1531,South Africa
406752,I. Okon,21,21,Defender,https://media.api-sports.io/football/players/406752.png,1531,South Africa
46458,N. Sibisi,30,19,Defender,https://media.api-sports.io/football/players/46458.png,1531,South Africa
330174,T. Matuludi,26,2,Defender,https://media.api-sports.io/football/players/330174.png,1531,South Africa
268710,J. Adams,24,23,Midfielder,https://media.api-sports.io/football/players/268710.png,1531,South Africa
194430,T. Mbatha,25,5,Midfielder,https://media.api-sports.io/football/players/194430.png,1531,South Africa
3287,T. Mokoena,28,4,Midfielder,https://media.api-sports.io/football/players/3287.png,1531,South Africa
158433,S. Sithole,26,13,Midfielder,https://media.api-sports.io/football/players/158433.png,1531,South Africa
3289,T. Zwane,36,11,Midfielder,https://media.api-sports.io/football/players/3289.png,1531,South Africa
179893,O. Appollis,24,7,Midfielder,https://media.api-sports.io/football/players/179893.png,1531,South Africa
98936,L. Foster,25,9,Attacker,https://media.api-sports.io/football/players/98936.png,1531,South Africa
201354,E. Makgopa,25,99,Attacker,https://media.api-sports.io/football/players/201354.png,1531,South Africa
354831,T. Maseko,22,12,Midfielder,https://media.api-sports.io/football/players/354831.png,1531,South Africa
414149,R. Mofokeng,21,10,Midfielder,https://media.api-sports.io/football/players/414149.png,1531,South Africa
295977,T. Moremi,25,8,Midfielder,https://media.api-sports.io/football/players/295977.png,1531,South Africa
127429,I. Rayners,30,15,Attacker,https://media.api-sports.io/football/players/127429.png,1531,South Africa
359561,K. Sebelebele,23,25,Midfielder,https://media.api-sports.io/football/players/359561.png,1531,South Africa
