id,name,age,number,position,photo,team_id,team_name
266606,C. Brady,21,25,Goalkeeper,https://media.api-sports.io/football/players/266606.png,2384,USA
50728,M. Freese,27,24,Goalkeeper,https://media.api-sports.io/football/players/50728.png,2384,USA
50999,M. Turner,31,1,Goalkeeper,https://media.api-sports.io/football/players/50999.png,2384,USA
38735,S. Dest,25,2,Attacker,https://media.api-sports.io/football/players/38735.png,2384,USA
355994,A. Freeman,21,16,Defender,https://media.api-sports.io/football/players/355994.png,2384,USA
50735,M. McKenzie,26,22,Defender,https://media.api-sports.io/football/players/50735.png,2384,USA
19023,T. Ream,38,13,Defender,https://media.api-sports.io/football/players/19023.png,2384,USA
126949,C. Richards,25,3,Defender,https://media.api-sports.io/football/players/126949.png,2384,USA
19549,A. Robinson,28,5,Midfielder,https://media.api-sports.io/football/players/19549.png,2384,USA
50879,M. Robinson,28,12,Defender,https://media.api-sports.io/football/players/50879.png,2384,USA
50852,J. Scally,23,23,Defender,https://media.api-sports.io/football/players/50852.png,2384,USA
50737,A. Trusty,27,6,Defender,https://media.api-sports.io/football/players/50737.png,2384,USA
362400,M. Arfsten,24,18,Midfielder,https://media.api-sports.io/football/players/362400.png,2384,USA
201713,S. Berhalter,24,14,Midfielder,https://media.api-sports.io/football/players/201713.png,2384,USA
415,W. McKennie,27,8,Midfielder,https://media.api-sports.io/football/players/415.png,2384,USA
161921,G. Reyna,23,7,Midfielder,https://media.api-sports.io/football/players/161921.png,2384,USA
51114,C. Roldan,30,15,Midfielder,https://media.api-sports.io/football/players/51114.png,2384,USA
162037,M. Tillman,23,17,Midfielder,https://media.api-sports.io/football/players/162037.png,2384,USA
1150,T. Adams,27,4,Midfielder,https://media.api-sports.io/football/players/1150.png,2384,USA
1138,T. Weah,25,21,Attacker,https://media.api-sports.io/football/players/1138.png,2384,USA
35885,A. Zendejas,28,26,Attacker,https://media.api-sports.io/football/players/35885.png,2384,USA
50739,B. Aaronson,25,11,Attacker,https://media.api-sports.io/football/players/50739.png,2384,USA
138835,F. Balogun,24,20,Attacker,https://media.api-sports.io/football/players/138835.png,2384,USA
73868,R. Pepi,22,9,Attacker,https://media.api-sports.io/football/players/73868.png,2384,USA
17,C. Pulisic,27,10,Midfielder,https://media.api-sports.io/football/players/17.png,2384,USA
427,H. Wright,27,19,Attacker,https://media.api-sports.io/football/players/427.png,2384,USA
