id,name,age,number,position,photo,team_id,team_name
72120,B. Ergashev,30,16,Goalkeeper,https://media.api-sports.io/football/players/72120.png,1568,Uzbekistan
73507,A. Nematov,24,12,Goalkeeper,https://media.api-sports.io/football/players/73507.png,1568,Uzbekistan
73534,U. Yusupov,34,1,Goalkeeper,https://media.api-sports.io/football/players/73534.png,1568,Uzbekistan
72122,K. Alijonov,28,3,Midfielder,https://media.api-sports.io/football/players/72122.png,1568,Uzbekistan
34121,R. Ashurmatov,29,5,Defender,https://media.api-sports.io/football/players/34121.png,1568,Uzbekistan
73510,U. Eshmurodov,33,15,Defender,https://media.api-sports.io/football/players/73510.png,1568,Uzbekistan
416964,B. Karimov,18,24,Midfielder,https://media.api-sports.io/football/players/416964.png,1568,Uzbekistan
360114,A. Khusanov,21,2,Defender,https://media.api-sports.io/football/players/360114.png,1568,Uzbekistan
73514,S. Nasrullayev,27,13,Midfielder,https://media.api-sports.io/football/players/73514.png,1568,Uzbekistan
532759,F. Sayfiev,34,4,Defender,https://media.api-sports.io/football/players/532759.png,1568,Uzbekistan
358427,J. Urozov,22,26,Defender,https://media.api-sports.io/football/players/358427.png,1568,Uzbekistan
73418,A. Abdullaev,28,18,Defender,https://media.api-sports.io/football/players/73418.png,1568,Uzbekistan
65571,A. Ulmasaliev,26,25,Defender,https://media.api-sports.io/football/players/65571.png,1568,Uzbekistan
312231,Ruslanbek Jiyanov,24,10,Midfielder,https://media.api-sports.io/football/players/312231.png,1568,Uzbekistan
73520,A. Ganiyev,27,19,Attacker,https://media.api-sports.io/football/players/73520.png,1568,Uzbekistan
65576,J. Iskanderov,32,8,Midfielder,https://media.api-sports.io/football/players/65576.png,1568,Uzbekistan
53835,O. Hamrobekov,29,9,Midfielder,https://media.api-sports.io/football/players/53835.png,1568,Uzbekistan
73522,A. Mozgovoy,26,6,Midfielder,https://media.api-sports.io/football/players/73522.png,1568,Uzbekistan
50272,O. Shukurov,29,7,Midfielder,https://media.api-sports.io/football/players/50272.png,1568,Uzbekistan
263676,A. Fayzullaev,22,22,Attacker,https://media.api-sports.io/football/players/263676.png,1568,Uzbekistan
363723,S. Esanov,23,23,Midfielder,https://media.api-sports.io/football/players/363723.png,1568,Uzbekistan
72127,O. Orunov,25,11,Midfielder,https://media.api-sports.io/football/players/72127.png,1568,Uzbekistan
53834,D. Khamdamov,29,17,Midfielder,https://media.api-sports.io/football/players/53834.png,1568,Uzbekistan
65584,A. Amonov,28,20,Attacker,https://media.api-sports.io/football/players/65584.png,1568,Uzbekistan
72128,I. Sergeev,32,21,Attacker,https://media.api-sports.io/football/players/72128.png,1568,Uzbekistan
53535,E. Shomurodov,30,14,Attacker,https://media.api-sports.io/football/players/53535.png,1568,Uzbekistan
